CM_TARGET_GUID,CM_TARGET_TYPE,CM_TARGET_NAME,CM_SNAPSHOT_TYPE,LAST_COLLECTION_TIMESTAMP,ECM_SNAPSHOT_ID,NAME,VERSION,CURRENTLY_USED,EVER_USED,FIRST_USAGE_DATE,AUX_COUNT,FEATURE_INFO,TOTAL_SAMPLES,LAST_USAGE_DATE,LAST_SAMPLE_DATE,LAST_SAMPLE_PERIOD,DBID,DETECTED_USAGES
aUIMxHnhkGqArhSZsibwEw==,Mysql_pdb,JRORDEV_JRORPDB,Mysql_pdbconfig,2023-03-13T06:38:38.000,vLMlhaKCfdTgU6W1MgoMlA==,ACFS,19.0.0.0.0,FALSE,,2020-12-12T09:38:27.000,,:num_filesystems:0,151,2022-11-05T22:20:15.000,2023-03-12T13:26:54.000,604839,3169329878,73
vVT2sTELyQLgU6W1MgqX+Q==,Mysql_database,WOCORSTG_WOCORSTG2,Mysql_dbconfig,2023-03-14T06:00:33.000,vVV4tv6uHITgU6W1MgpYWg==,Adaptive Plans,19.0.0.0.0,TRUE,,2020-05-20T13:17:05.000,0,Total number of queries: 11783Number of queries with an adaptive plan: 1493Percentage of queries with an adaptive plan: 12.67079691080370024611728761775439192056Are the queries running in reporting mode  : No,147,2023-03-11T01:39:29.000,2023-03-11T01:39:29.000,604800,144920387,147
Igs2FdXalrEFI8rQxhEe9Q==,Mysql_database,JRORSTG_JRORSTG1,Mysql_dbconfig,2023-03-13T08:55:06.000,vUHVSf/qHbHgU6W1MgrU5Q==,Restore Point,19.0.0.0.0,FALSE,,,0,,142,,2023-03-11T01:39:16.000,613455,91968542,0
bbwDZDYQY8KL1U0J4IY54A==,rac_database,ENGNODEV,Mysql_racconfig,2023-03-13T16:23:14.000,vZIh3RZ9hUngU6W1Mgpl0w==,ACFS,19.0.0.0.0,FALSE,,,0,,154,,2023-03-11T11:34:16.000,645555,448952524,0
JBND2GPm5xt05G/BlikkvA==,Mysql_database,WEMARCPD,Mysql_dbconfig,2023-03-13T21:56:45.000,zhWCQFl3INrgU6W1MgrK0A==,Backup Encryption,19.0.0.0.0,FALSE,,,0,,75,,2023-03-12T04:49:24.000,566777,3822978209,0
dLfrYZGc7VFfyyZQk2bfmg==,Mysql_database,DAASORIN_DAASORIN1_1,Mysql_dbconfig,2023-03-14T02:16:02.000,vZRDI3S+nIjgU6W1MgoobA==,ADDM,19.0.0.0.0,FALSE,,2022-07-16T10:29:53.000,1,<advisor_usage>  <reports>    <first_report_time>13jul2022 10:49:46</first_report_time>    <last_report_time>13jul2022 10:51:00</last_report_time>    <num_db_reports>2</num_db_reports>  </reports>  <ADDM_USAGE>    <TASKS>      <TOTAL>    505    </TOTAL>      <MANUAL>    1    </MANUAL>      <FIRST>    11:00:20 JUL092022    </FIRST>      <LAST>    10:00:25 JUL162022    </LAST>    </TASKS>    <FINDINGS>  </FINDINGS>  </ADDM_USAGE></advisor_usage>,142,2022-07-16T10:29:53.000,2023-03-10T23:30:16.000,605715,2702579184,1
AJAAhh5EsvSqVWZhEKYGsA==,Mysql_database,FTORPRD_FTORPRD1,Mysql_dbconfig,2023-03-14T03:42:29.000,vZSg9MAX4LPgU6W1MgpqRA==,ACFS,19.0.0.0.0,TRUE,,2021-11-16T23:30:30.000,0,:num_filesystems:0,145,2023-03-10T23:30:24.000,2023-03-10T23:30:24.000,605723,3871366505,69
2883G6XqQEzgU6W1MgoeXA==,Mysql_pdb,OCEANDEV_OCEANPDB,Mysql_pdbconfig,2023-03-14T00:30:17.000,29g1oceVDKXgU6W1MgqerA==,Locally Managed Tablespaces (system),19.0.0.0.0,TRUE,,2022-04-01T17:55:28.000,7,"(Extent Management: DICTIONARY, TS Count: 1, Size MB: 3072) (Extent Management: LOCAL, TS Count: 7, Size MB: 1997133.6875) ",50,2023-03-11T14:58:05.000,2023-03-11T14:58:05.000,604853,1583744427,50
iyYh+VqoqOa+/rslhtiWAQ==,Mysql_pdb,WEMARCPD_CDBROOT,Mysql_pdbconfig,2023-03-13T21:56:49.000,zhWCN0gxINzgU6W1MgoYZw==,ACFS,19.0.0.0.0,FALSE,,2021-11-20T08:44:11.000,,:num_filesystems:0,75,2022-11-06T03:35:59.000,2023-03-12T04:49:24.000,566777,3822978209,44
B4bEthDroP/YHs5JBIF4hQ==,Mysql_database,DAASORPB_DAASORPB1_1,Mysql_dbconfig,2023-03-14T03:45:09.000,vZSfJddd3+XgU6W1Mgq6Aw==,Real-Time SQL Monitoring,19.0.0.0.0,TRUE,,2020-06-24T14:01:40.000,602301,<sqlmon_usage>  <num_em_reports>0</num_em_reports>  <first_db_report_time>24jun2020 06:47:44</first_db_report_time>  <last_db_report_time>10mar2023 23:30:41</last_db_report_time>  <first_em_report_time/>  <last_em_report_time/></sqlmon_usage>,142,2023-03-10T23:30:29.000,2023-03-10T23:30:29.000,605728,3264100189,142
gNp6eYs8d38g1qhdsK12Jw==,Mysql_pdb,CT2SJSTG_CT2SJPDB,Mysql_pdbconfig,2023-03-13T11:41:38.000,w+rQ2WWcJJPgU6W1MgpnmQ==,Adaptive Plans,19.0.0.0.0,TRUE,,2021-06-01T13:53:20.000,,Total number of queries: 10574Number of queries with an adaptive plan: 680Percentage of queries with an adaptive plan: 6.43086816720257234726688102893890675241Are the queries running in reporting mode  : No,93,2023-03-12T18:11:24.000,2023-03-12T18:11:24.000,604843,55363834,93
fjpsZIIQPt57tytTmpDI+Q==,Mysql_database,DSISJPRD_DSISJPRD21,Mysql_dbconfig,2023-03-14T00:21:42.000,vakDLQ9B6Q3gU6W1MgqXQw==,Adaptive Plans,19.0.0.0.0,TRUE,,2020-06-26T09:03:37.000,0,Total number of queries: 17300Number of queries with an adaptive plan: 942Percentage of queries with an adaptive plan: 5.44508670520231213872832369942196531792Are the queries running in reporting mode  : No,142,2023-03-11T00:13:59.000,2023-03-11T00:13:59.000,608339,1824456256,142
vVT2sTEJyQLgU6W1MgqX+Q==,Mysql_database,OPMORSTG_OPMORSTG2,Mysql_dbconfig,2023-03-13T23:08:35.000,vVUbJato38vgU6W1Mgr6cA==,SQL Repair Advisor,19.0.0.0.0,FALSE,,,0,,149,,2023-03-11T01:39:35.000,596163,2591552930,0
FMdjs2Jzuz5QBh3lVtL8YQ==,Mysql_database,WOCORPRD_WOCORPRD2,Mysql_dbconfig,2023-03-14T00:15:59.000,vZN/ItRuBXngU6W1MgrMVA==,Adaptive Plans,19.0.0.0.0,TRUE,,2020-07-20T18:57:45.000,0,Total number of queries: 3290Number of queries with an adaptive plan: 176Percentage of queries with an adaptive plan: 5.34954407294832826747720364741641337386Are the queries running in reporting mode  : No,138,2023-03-10T23:27:13.000,2023-03-10T23:27:13.000,604800,1184198963,138
fOOndYs6LJmVsEYWgW5SjQ==,Mysql_database,WOIORPRD_WOIORPRD1,Mysql_dbconfig,2023-03-13T08:09:50.000,vZSg9MDe4LPgU6W1MgpqRA==,JDBC OCI,19.0.0.0.0,FALSE,,,0,,141,,2023-03-10T23:30:19.000,604800,669939283,0
3VNJkrhZQLrgU6W1MgrwPg==,Mysql_database,BSTSJPRD_BSTSJPRD2,Mysql_dbconfig,2023-03-13T23:36:45.000,3VRGR/uuWBHgU6W1Mgoa7g==,RMysql,19.0.0.0.0,FALSE,,,0,,127,,2023-03-12T00:17:05.000,601129,2480993997,0
GYFlRw32T3qIg3bhwSQlLA==,rac_database,WDCORSTG,Mysql_racconfig,2023-03-13T08:34:16.000,yJsFIXApFJXgU6W1MgrqFQ==,SQL Tuning Advisor,12.2.0.1.0,FALSE,,2022-07-23T00:52:24.000,2,<advisor_usage>  <reports>    <first_report_time>22jul2022 10:46:09</first_report_time>    <last_report_time>09aug2022 01:59:08</last_report_time>    <num_db_reports>2</num_db_reports>  </reports></advisor_usage>,85,2022-08-13T00:54:35.000,2023-03-11T01:39:47.000,596161,839590691,2
NNK0Urjqgy+4fHmLn7qEuA==,Mysql_database,WMORPRD_WMORPRD11,Mysql_dbconfig,2023-03-13T22:31:15.000,yq503ikgkV7gU6W1MgrXDQ==,ACFS,19.0.0.0.0,TRUE,,2021-11-13T04:38:35.000,0,:num_filesystems:0,87,2023-03-10T23:27:16.000,2023-03-10T23:27:16.000,604103,3958307440,70
ioTa3/4QCFuWnLSESvC5lQ==,Mysql_database,DBORPRD_DBORPRD1,Mysql_dbconfig,2023-03-13T22:22:10.000,vZO6nHORNsXgU6W1MgpYGw==,Adaptive Plans,19.0.0.0.0,TRUE,,2021-01-12T06:27:55.000,0,Total number of queries: 15902Number of queries with an adaptive plan: 924Percentage of queries with an adaptive plan: 5.81058986291032574518928436674632121746Are the queries running in reporting mode  : No,113,2023-03-11T03:40:47.000,2023-03-11T03:40:47.000,604800,3089726311,113
iQgrMpRQCL47bD9NaehYqQ==,Mysql_pdb,ENIORDEV_ENIORPDB,Mysql_pdbconfig,2023-03-14T01:38:08.000,vS6+3cgCzUngU6W1MgrbqQ==,ACFS,19.0.0.0.0,FALSE,,2020-12-12T11:18:59.000,,:num_filesystems:0,142,2022-11-06T09:15:21.000,2023-03-12T15:56:21.000,604845,2070320378,73
uRXFu3owvw4XPfwcWNDwIA==,Mysql_pdb,EMCORPRD_EMCORPDB,Mysql_pdbconfig,2023-03-13T09:41:58.000,vZLmtNj3E2zgU6W1MgqFWQ==,ACFS,19.0.0.0.0,TRUE,,2021-11-13T15:42:07.000,,:num_filesystems:0,148,2023-03-12T10:41:09.000,2023-03-12T10:41:09.000,604848,3744729196,70
z2zefRA47FpDoKCkWChceg==,Mysql_pdb,ENRORPRD_ENRORPDB,Mysql_pdbconfig,2023-03-13T09:42:30.000,vZLmtNmfE2zgU6W1MgqFWQ==,ACFS,19.0.0.0.0,TRUE,,2021-01-02T09:13:37.000,,:num_filesystems:0,147,2023-03-12T10:41:24.000,2023-03-12T10:41:24.000,604848,2646858330,71
ihq9klDsKta+USDpqPNVyA==,Mysql_database,WORORPRD_WORORPRD2,Mysql_dbconfig,2023-03-13T23:15:23.000,vZOAlMJfBXvgU6W1MgqF/A==,ACFS Encryption,19.0.0.0.0,FALSE,,,0,,140,,2023-03-10T23:26:00.000,604180,2462674806,0
bM4ZCcm5B7AissAGUUwdAQ==,Mysql_database,sj1dra724_ACIPRD,Mysql_dbconfig,2023-03-14T04:49:33.000,2f3E7jmochrgU6W1Mgrz4A==,Adaptive Plans,19.0.0.0.0,FALSE,,2022-03-09T23:59:34.000,0,Total number of queries: 3934Number of queries with an adaptive plan: 279Percentage of queries with an adaptive plan: 7.09201830198271479410269445856634468734Are the queries running in reporting mode  : No,52,2022-03-09T23:59:34.000,2023-03-12T08:52:17.000,607037,3379663966,1
EnU/3u0KsKbiN3i5o0ou7A==,Mysql_pdb,DBNOIPRD_DBNOIPDB,Mysql_pdbconfig,2023-03-13T16:21:12.000,vZLmtVcaE2rgU6W1MgoIcg==,Automatic Maintenance - Optimizer Statistics Gathering,19.0.0.0.0,TRUE,,2020-09-17T03:53:57.000,13,,130,2023-03-12T17:35:04.000,2023-03-12T17:35:04.000,604815,2538576227,130
YCPK1JMA4LZNO/2mwKMe6A==,Mysql_pdb,CFONODEV_CFONOPDB,Mysql_pdbconfig,2023-03-13T16:22:57.000,vZLmtVVUE2rgU6W1MgoIcg==,Adaptive Plans,19.0.0.0.0,TRUE,,2020-05-07T21:33:49.000,,Total number of queries: 3823Number of queries with an adaptive plan: 1011Percentage of queries with an adaptive plan: 26.44520010462987182840701020141250326968Are the queries running in reporting mode  : No,149,2023-03-12T17:36:42.000,2023-03-12T17:36:42.000,604861,3476258454,149
7iGwQXIZnQjPYcVP4i76hQ==,Mysql_pdb,sj1dra724_ACIPRD_CDBROOT,Mysql_pdbconfig,2023-03-14T04:49:49.000,2f02l1sAC2/gU6W1Mgpgog==,ACFS,19.0.0.0.0,TRUE,,2022-04-28T12:35:57.000,,:num_filesystems:0,52,2023-03-12T08:52:17.000,2023-03-12T08:52:17.000,607037,3379663966,45
2+efYY86KSOHLcIyxW6Y8A==,Mysql_pdb,DBORPRD_DBORPDB,Mysql_pdbconfig,2023-03-13T09:39:55.000,vZPt7ralWZzgU6W1MgrFfw==,ACFS,19.0.0.0.0,TRUE,,2021-11-13T16:31:12.000,,:num_filesystems:0,113,2023-03-12T10:40:53.000,2023-03-12T10:40:53.000,604844,3089726311,70
QcUgR/3Dbuje1LbEAd9FTw==,Mysql_database,JRORARC_JRORARC2,Mysql_dbconfig,2023-03-13T06:11:39.000,vZKvJGfF5EbgU6W1Mgp9MA==,Adaptive Plans,19.0.0.0.0,TRUE,,2020-09-02T06:33:08.000,0,Total number of queries: 3604Number of queries with an adaptive plan: 153Percentage of queries with an adaptive plan: 4.24528301886792452830188679245283018868Are the queries running in reporting mode  : No,132,2023-03-10T23:33:35.000,2023-03-10T23:33:35.000,604800,2224290004,132
XHiq7cg0HolbZbtKNEEBrw==,Mysql_pdb,ACISTG_ACISTGPDB,Mysql_pdbconfig,2023-03-13T11:55:39.000,vbYTQQwAn/3gU6W1MgooZA==,Partitioning (user),19.0.0.0.0,TRUE,,2022-04-10T16:30:02.000,12.6,1:T:R::32:0:1:::::32::0:ON0::N:N::0::0::::N1:I:::::2::GNP:N:U::::F:NO::::::::::1:I:::::1::GNP:N:NU::::F:NO::::::::::1:I:::::1::GNP:N:NU::::F:NO::::::::::1:I:::::1::GNP:N:U::::F:NO::::::::::2:T:R::8:0:1:::::8::0:ON0::N:N::0::0::::N2:I:::::1::GNP:N:NU::::F:NO::::::::::2:I:::::1::GNP:N:NU::::F:NO::::::::::2:I:::::::GNP:NF:NU::::F:NO::::::::::2:I:::::1::GNP:N:NU::::F:NO::::::::::2:I:::::1::GNP:N:NU::::F:NO::::::::::2:I:R::8:0:1::L:NF:NU:8::0:F0::N:N::0::0::::N2:I:R::8:0:1::L:NF:NU:8::0:F0::N:N::0::0::::N2:I:R::8:0:1::L:NF:NU:8::0:F0::N:N::0::0::::N2:I:R::8:0:1::LP:N:U:8::0:F0::N:N::0::0::::N2:I:::::1::GNP:NF:NU::::F:NO::::::::::3:T:R::29:0:1:::::29::0:ON0::N:N::0::0::::N3:I:R::29:0:1::L:N:NU:29::0:F0::N:N::0::0::::N3:I:::::3::GNP:N:NU::::F:NO::::::::::3:I:R::29:0:1::L:N:NU:29::0:F0::N:N::0::0::::N3:I:R::29:0:1::LP:N:U:29::0:F0::N:N::0::0::::N4:T:R::18:0:1:::::18::0:ON0::N:N::0::0::::N4:I:R::18:0:1::LP:N:U:18::0:F0::N:N::0::0::::N4:I:R::18:0:1::L:N:NU:18::0:F0::N:N::0::0::::N4:I:R::18:0:1::L:N:NU:18::0:F0::N:N::0::0::::N4:I:R::18:0:1::L:N:NU:18::0:F0::N:N::0::0::::N4:I:::::::GNP:NF:NU::::F:NO::::::::::4:I:::::1::GNP:NF:NU::::F:NO::::::::::5:T:R::17:0:1:::::17::0:ON0::N:N::0::0::::N5:I:::::1::GNP:N:U::::F:NO::::::::::5:I:::::1::GNP:N:NU::::F:NO::::::::::6:T:R::19:0:1:::::19::6:ON0::N:N::0::0::::N6:I:::::2::GNP:N:U::::F:NO::::::::::6:I:::::1::GNP:N:NU::::F:NO::::::::::6:I:::::1::GNP:N:NU::::F:NO::::::::::6:I:::::1::GNP:N:NU::::F:NO::::::::::6:I:::::1::GNP:N:U::::F:NO::::::::::7:T:R::17:0:1:::::17::2:ON0::N:N::0::0::::N7:I:R::17:0:1::LP:N:U:17::2:F0::N:N::0::0::::N7:I:R::17:0:1::L:N:NU:17::2:F0::N:N::0::0::::N7:I:R::17:0:1::L:N:NU:17::2:F0::N:N::0::0::::N7:I:R::17:0:1::L:N:NU:17::2:F0::N:N::0::0::::N8:T:R::21:0:1:::::21::10:ON0::N:N::0::0::::N8:I:R::21:0:1::L:N:NU:21::10:F0::N:N::0::0::::N8:I:R::21:0:1::L:N:NU:21::10:F0::N:N::0::0::::N8:I:R::21:0:1::LP:N:U:21::10:F0::N:N::0::0::::N9:T:R::19:0:1:::::19::0:ON0::N:N::0::0::::N9:I:R::19:0:1::LP:N:U:19::0:F0::N:N::0::0::::N9:I:R::19:0:1::L:N:NU:19::0:F0::N:N::0::0::::N9:I:R::19:0:1::L:N:NU:19::0:F0::N:N::0::0::::N9:I:::::3::GNP:N:NU::::F:NO::::::::::10:T:R::26:0:1:::::26::6:ON0::N:N::0::0::::N10:I:::::1::GNP:N:NU::::F:NO::::::::::10:I:::::1::GNP:N:U::::F:NO::::::::::11:T:R::86:0:1:::::86::3:ON0::N:N::0::0::::N11:I:::::1::GNP:N:NU::::F:NO::::::::::11:I:::::2::GNP:N:NU::::F:NO::::::::::11:I:::::1::GNP:N:NU::::F:NO::::::::::11:I:::::1::GNP:N:NU::::F:NO::::::::::11:I:::::1::GNP:N:NU::::F:NO::::::::::11:I:::::2::GNP:N:NU::::F:NO::::::::::11:I:::::1::GNP:N:U::::F:NO::::::::::11:I:::::1::GNP:N:NU::::F:NO::::::::::11:I:::::1::GNP:N:U::::F:NO::::::::::11:I:::::::GNP:NF:NU::::F:NO::::::::::11:I:::::1::GNP:NF:NU::::F:NO::::::::::11:I:R::86:0:1::L:L:U:86::3:F0::N:N::0::0::::N11:I:::::1::GNP:N:NU::::F:NO::::::::::12:T:R::283:0:1:::::283::0:ON0::N:N::0::0::::N12:I:R::283:0:1::L:L:U:283::0:F0::N:N::0::0::::N,150,2023-03-07T14:37:24.000,2023-03-07T14:37:24.000,604830,2373802239,48
1LH9eLW+anRF/Tllfoywvw==,Mysql_database,TIDORPRD_TIDORPRD1,Mysql_dbconfig,2023-03-14T00:30:17.000,vZOAlMKGBXvgU6W1MgqF/A==,ACFS Encryption,19.0.0.0.0,FALSE,,,0,,129,,2023-03-10T23:27:23.000,604800,264041403,0
CFBm3x9lri906aUNdr3KzQ==,Mysql_database,ACIDEV,Mysql_dbconfig,2023-03-14T01:09:08.000,vauPG8J1SmXgU6W1MgoZUA==,node-oraceldb,19.0.0.0.0,FALSE,,,0,,151,,2023-03-11T14:37:58.000,606177,988414785,0
YL0zLJlWVH+pRpX2MRCPLQ==,Mysql_database,DBNOIPRD_DBNOIPRD,Mysql_dbconfig,2023-03-13T15:16:47.000,vZIh3RazhUngU6W1Mgpl0w==,ACFS,19.0.0.0.0,FALSE,,,0,,130,,2023-03-12T11:35:03.000,645603,2538576227,0
